location,year_range,region_of_residence,nights,visits,gbp_spent
Scottish Borders,2015-2017,Scotland,235000,104000,19000000
Scottish Borders,2015-2017,England,598000,169000,33000000
Scottish Borders,2013-2015,All of GB,1147000,352000,73000000
Scottish Borders,2013-2015,England,735000,200000,44000000
Scottish Borders,2010-2012,England,724000,206000,42000000
Scottish Borders,2010-2012,Scotland,578000,175000,22000000
Scottish Borders,2009-2011,All of GB,1203000,404000,71000000
Scottish Borders,2010-2012,All of GB,1323000,384000,65000000
Scottish Borders,2009-2011,Scotland,507000,194000,29000000
Scottish Borders,2009-2011,England,695000,209000,42000000
Scottish Borders,2016-2018,All of GB,912000,311000,55000000
Scottish Borders,2011-2013,All of GB,1329000,386000,74000000
Scottish Borders,2016-2018,Scotland,256000,127000,21000000
Scottish Borders,2016-2018,England,637000,179000,32000000
Scottish Borders,2011-2013,England,728000,207000,41000000
Scottish Borders,2011-2013,Scotland,570000,174000,31000000
Scottish Borders,2014-2016,Scotland,284000,118000,19000000
Scottish Borders,2014-2016,England,638000,172000,33000000
Scottish Borders,2014-2016,All of GB,947000,295000,53000000
Shetland Islands,2015-2017,All of GB,426000,49000,19000000
Shetland Islands,2009-2011,Scotland,42000,12000,9000000
Shetland Islands,2015-2017,England,283000,32000,15000000
Shetland Islands,2009-2011,All of GB,150000,37000,19000000
Shetland Islands,2009-2011,England,54000,18000,8000000
Shetland Islands,2015-2017,Scotland,143000,17000,5000000
Shetland Islands,2010-2012,England,101000,26000,10000000
Shetland Islands,2010-2012,Scotland,95000,17000,14000000
Shetland Islands,2010-2012,All of GB,212000,44000,25000000
Shetland Islands,2011-2013,Scotland,243000,25000,9000000
Shetland Islands,2011-2013,England,280000,35000,22000000
Shetland Islands,2016-2018,Scotland,186000,16000,3000000
Shetland Islands,2016-2018,England,189000,29000,13000000
Shetland Islands,2011-2013,All of GB,523000,60000,31000000
Shetland Islands,2016-2018,All of GB,375000,45000,15000000
Shetland Islands,2012-2014,Scotland,425000,39000,20000000
Shetland Islands,2012-2014,England,543000,36000,22000000
Shetland Islands,2014-2016,All of GB,627000,65000,33000000
Shetland Islands,2012-2014,All of GB,784000,75000,42000000
Shetland Islands,2014-2016,England,505000,36000,19000000
Shetland Islands,2014-2016,Scotland,306000,29000,14000000
Shetland Islands,2017-2019,Scotland,152000,13000,2000000
Shetland Islands,2017-2019,England,98000,18000,4000000
Shetland Islands,2017-2019,All of GB,251000,31000,7000000
Shetland Islands,2013-2015,England,605000,36000,23000000
Shetland Islands,2013-2015,All of GB,770000,68000,39000000
Shetland Islands,2013-2015,Scotland,350000,32000,15000000
South Ayrshire,2012-2014,All of GB,1251000,362000,61000000
South Ayrshire,2016-2018,All of GB,1388000,354000,86000000
South Ayrshire,2012-2014,Scotland,539000,194000,23000000
South Ayrshire,2012-2014,England,918000,168000,38000000
South Ayrshire,2016-2018,England,617000,135000,46000000
South Ayrshire,2016-2018,Scotland,765000,217000,40000000
South Ayrshire,2014-2016,England,525000,100000,29000000
South Ayrshire,2014-2016,Scotland,636000,243000,37000000
South Ayrshire,2014-2016,All of GB,955000,343000,67000000
South Ayrshire,2017-2019,England,761000,163000,45000000
South Ayrshire,2017-2019,All of GB,1493000,373000,82000000
South Ayrshire,2017-2019,Scotland,726000,208000,36000000
